codigo,estado
1,OK
2,OK
3,OK
4,OK
5,OK
6,OK
7,OK
8,OK
9,OK
10,OK
11,OK
12,OK
13,OK
14,OK
15,OK
16,OK
17,OK
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OK
26,OK
27,OK
28,OK
29,OK
30,OK
31,OK
32,OK
33,OK
34,OK
35,OK
36,OK
37,OK
38,OK
39,OK
40,OK
41,OK
42,OK
43,OK
44,OK
45,OK
46,OK
47,OK
48,OK
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,OK
69,OK
70,OK
71,OK
72,OK
73,OK
74,OK
75,OK
76,OK
77,OK
78,OK
79,OK
80,OK
81,OK
82,OK
83,OK
84,OK
85,OK
86,OK
87,OK
88,OK
89,OK
90,OK
91,OK
92,OK
93,OK
94,OK
95,OK
96,OK
97,OK
98,OK
99,OK
100,OK
101,OK
102,OK
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,OK
110,OK
111,OK
112,OK
113,OK
114,OK
115,OK
116,OK
117,OK
118,OK
119,OK
120,OK
121,OK
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,OK
139,OK
140,OK
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OK
151,OK
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,OK
163,OK
164,OK
165,OK
166,OK
167,OK
168,OK
169,OK
170,OK
171,OK
172,OK
173,OK
174,OK
175,OK
176,OK
177,OK
178,OK
179,OK
180,OK
181,OK
182,OK
183,OK
184,OK
185,OK
186,OK
187,OK
188,OK
189,OK
190,OK
191,OK
192,OK
193,OK
194,OK
195,OK
196,OK
197,OK
198,OK
199,OK
200,OK
201,OK
202,OK
203,OK
204,OK
205,OK
206,OK
207,OK
208,OK
209,OK
210,OK
211,OK
212,OK
213,OK
214,OK
215,OK
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,OK
228,OK
229,OK
230,OK
231,OK
232,OK
233,OK
234,OK
235,OK
236,OK
237,OK
238,OK
239,OK
240,OK
241,OK
242,OK
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,OK
255,OK
256,OK
257,OK
258,OK
259,OK
260,OK
261,OK
262,OK
263,OK
264,OK
265,OK
266,OK
267,OK
268,OK
269,OK
270,OK
271,OK
272,OK
273,OK
274,OK
275,OK
276,OK
277,OK
278,OK
279,OK
280,OK
281,OK
282,OK
283,OK
284,OK
285,OK
286,OK
287,OK
288,OK
289,OK
290,OK
291,OK
292,OK
293,OK
294,OK
295,OK
296,OK
297,OK
298,OK
299,OK
300,OK
301,OK
302,OK
303,OK
304,OK
305,OK
306,OK
307,OK
308,OK
309,OK
310,OK
311,OK
312,OK
313,OK
314,OK
315,OK
316,OK
317,OK
318,OK
319,OK
320,OK
321,OK
322,OK
323,OK
324,OK
325,OK
326,OK
327,OK
328,OK
329,OK
330,OK
331,OK
332,OK
333,OK
334,OK
335,OK
336,OK
337,OK
338,OK
339,OK
340,OK
341,OK
342,OK
343,OK
344,OK
345,OK
346,OK
347,OK
348,OK
349,OK
350,OK
351,OK
352,OK
353,OK
354,OK
355,OK
356,OK
357,OK
358,OK
359,OK
360,OK
361,OK
362,OK
363,OK
364,OK
365,OK
366,OK
367,OK
368,OK
369,OK
370,OK
371,OK
372,OK
373,OK
374,OK
375,OK
376,OK
377,OK
378,OK
379,OK
380,OK
381,OK
382,OK
383,OK
384,OK
385,OK
386,OK
387,OK
388,OK
389,OK
390,OK
391,OK
392,OK
393,OK
394,OK
395,OK
396,OK
397,OK
398,OK
399,OK
400,OK
401,OK
402,OK
403,OK
404,OK
405,OK
406,OK
407,OK
408,OK
409,OK
410,OK
411,OK
412,OK
413,OK
414,OK
415,OK
416,OK
417,OK
418,OK
419,OK
420,OK
421,OK
422,OK
423,OK
424,OK
425,OK
426,OK
427,OK
428,OK
429,OK
430,OK
431,OK
432,OK
433,OK
434,OK
435,OK
436,OK
437,OK
438,OK
439,OK
440,OK
441,OK
442,OK
443,OK
444,OK
445,OK
446,OK
447,OK
448,OK
449,OK
450,OK
451,OK
452,OK
453,OK
454,OK
455,OK
456,OK
457,OK
458,OK
459,OK
460,OK
461,OK
462,OK
463,OK
464,OK
465,OK
466,OK
467,OK
468,OK
469,OK
470,OK
471,OK
472,OK
473,OK
474,OK
475,OK
476,OK
477,OK
478,OK
479,OK
480,OK
481,OK
482,OK
483,OK
484,OK
485,OK
486,OK
487,OK
488,OK
489,OK
490,OK
491,OK
492,OK
493,OK
494,OK
495,OK
496,OK
497,OK
498,OK
499,OK
500,OK
501,OK
502,OK
503,OK
504,OK
505,OK
506,OK
507,OK
508,OK
509,OK
510,OK
511,OK
512,OK
513,OK
514,OK
515,OK
516,OK
517,OK
518,OK
519,OK
520,OK
521,OK
522,OK
523,OK
524,OK
525,OK
526,OK
527,OK
528,OK
529,OK
530,OK
531,OK
532,OK
533,OK
534,OK
535,OK
536,OK
537,OK
538,OK
539,OK
540,OK
541,OK
542,OK
543,OK
544,OK
545,OK
546,OK
547,OK
548,OK
549,OK
550,OK
551,OK
552,OK
553,OK
554,OK
555,OK
556,OK
557,OK
558,OK
559,OK
560,OK
561,OK
562,OK
563,OK
564,OK
565,OK
566,OK
567,OK
568,OK
569,OK
570,OK
571,OK
572,OK
573,OK
574,OK
575,OK
576,OK
577,OK
578,OK
579,OK
580,OK
581,OK
582,OK
583,OK
584,OK
585,OK
586,OK
587,OK
588,OK
589,OK
590,OK
591,OK
592,OK
593,OK
594,OK
595,OK
596,OK
597,OK
598,OK
599,OK
600,OK
601,OK
602,OK
603,OK
604,OK
605,OK
606,OK
607,OK
608,OK
609,OK
610,OK
611,OK
612,OK
613,OK
614,OK
615,OK
616,OK
617,OK
618,OK
619,OK
620,OK
621,OK
622,OK
623,OK
624,OK
625,OK
626,OK
627,OK
628,OK
629,OK
630,OK
631,OK
632,OK
633,OK
634,OK
635,OK
636,OK
637,OK
638,OK
639,OK
640,OK
641,OK
642,OK
643,OK
644,OK
645,OK
646,OK
647,OK
648,OK
649,OK
650,OK
651,OK
652,OK
653,OK
654,OK
655,OK
656,OK
657,OK
658,OK
659,OK
660,OK
661,OK
662,OK
663,OK
664,OK
665,OK
666,OK
667,OK
668,OK
669,OK
670,OK
671,OK
672,OK
673,OK
674,OK
675,OK
676,OK
677,OK
678,OK
679,OK
680,OK
681,OK
682,OK
683,OK
684,OK
685,OK
686,OK
687,OK
688,OK
689,OK
690,OK
691,OK
692,OK
693,OK
694,OK
695,OK
696,OK
697,OK
698,OK
699,OK
700,OK
701,OK
702,OK
703,OK
704,OK
705,OK
706,OK
707,OK
708,OK
709,OK
710,OK
711,OK
712,OK
713,OK
714,OK
715,OK
716,OK
717,OK
718,OK
719,OK
720,OK
721,OK
722,OK
723,OK
724,OK
725,OK
726,OK
727,OK
728,OK
729,OK
730,OK
731,OK
732,OK
733,OK
734,OK
735,OK
736,OK
737,OK
738,OK
739,OK
740,OK
741,OK
742,OK
743,OK
744,OK
745,OK
746,OK
747,OK
748,OK
749,OK
750,OK
751,OK
752,OK
753,OK
754,OK
755,OK
756,OK
757,OK
758,OK
759,OK
760,OK
761,OK
762,OK
763,OK
764,OK
765,OK
766,OK
767,OK
768,OK
769,OK
770,OK
771,OK
772,OK
773,OK
774,OK
775,OK
776,OK
777,OK
778,OK
779,OK
780,OK
781,OK
782,OK
783,OK
784,OK
785,OK
786,OK
787,OK
788,OK
789,OK
790,OK
791,OK
792,OK
793,OK
794,OK
795,OK
796,OK
797,OK
798,OK
799,OK
800,OK
801,OK
802,OK
803,OK
804,OK
805,OK
806,OK
807,OK
808,OK
809,OK
810,OK
811,OK
812,OK
813,OK
814,OK
815,OK
816,OK
817,OK
818,OK
819,OK
820,OK
821,OK
822,OK
823,OK
824,OK
825,OK
826,OK
827,OK
828,OK
829,OK
830,OK
831,OK
832,OK
833,OK
834,OK
835,OK
836,OK
837,OK
838,OK
839,OK
840,OK
841,OK
842,OK
843,OK
844,OK
845,OK
846,OK
847,OK
848,OK
849,OK
850,OK
851,OK
852,OK
853,OK
854,OK
855,OK
856,OK
857,OK
858,OK
859,OK
860,OK
861,OK
862,OK
863,OK
864,OK
865,OK
866,OK
867,OK
868,OK
869,OK
870,OK
871,OK
872,OK
873,OK
874,OK
875,OK
876,OK
877,OK
878,OK
879,OK
880,OK
881,OK
882,OK
883,OK
884,OK
885,OK
886,OK
887,OK
888,OK
889,OK
890,OK
891,OK
892,OK
893,OK
894,OK
895,OK
896,OK
897,OK
898,OK
899,OK
900,OK
901,OK
902,OK
903,OK
904,OK
905,OK
906,OK
907,OK
908,OK
909,OK
910,OK
911,OK
912,OK
913,OK
914,OK
915,OK
916,OK
917,OK
918,OK
919,OK
920,OK
921,OK
922,OK
923,OK
924,OK
925,OK
926,OK
927,OK
928,OK
929,OK
930,OK
931,OK
932,OK
933,OK
934,OK
935,OK
936,OK
937,OK
938,OK
939,OK
940,OK
941,OK
942,OK
943,OK
944,OK
945,OK
946,OK
947,OK
948,OK
949,OK
950,OK
951,OK
952,OK
953,OK
954,OK
955,OK
956,OK
957,OK
958,OK
959,OK
960,OK
961,OK
962,OK
963,OK
964,OK
965,OK
966,OK
967,OK
968,OK
969,OK
970,OK
971,OK
972,OK
973,OK
974,OK
975,OK
976,OK
977,OK
978,OK
979,OK
980,OK
981,OK
982,OK
983,OK
984,OK
985,OK
986,OK
987,OK
988,OK
989,OK
990,OK
991,OK
992,OK
993,OK
994,OK
995,OK
996,OK
997,OK
998,OK
999,OK
1000,OK
1001,OK
1002,OK
1003,OK
1004,OK
1005,OK
1006,OK
1007,OK
1008,OK
1009,OK
1010,OK
1011,OK
1012,OK
1013,OK
1014,OK
1015,OK
1016,OK
1017,OK
1018,OK
1019,OK
1020,OK
1021,OK
1022,OK
1023,OK
1024,OK
1025,OK
1026,OK
1027,OK
1028,OK
1029,OK
1030,OK
1031,OK
1032,OK
1033,OK
1034,OK
1035,OK
1036,OK
1037,OK
1038,OK
1039,OK
1040,OK
1041,OK
1042,OK
1043,OK
1044,OK
1045,OK
1046,OK
1047,OK
1048,OK
1049,OK
1050,OK
1051,OK
1052,OK
1053,OK
1054,OK
1055,OK
1056,OK
1057,OK
1058,OK
1059,OK
1060,OK
1061,OK
1062,OK
1063,OK
1064,OK
1065,OK
1066,OK
1067,OK
1068,OK
1069,OK
1070,OK
1071,OK
1072,OK
1073,OK
1074,OK
1075,OK
1076,OK
1077,OK
1078,OK
1079,OK
1080,OK
1081,OK
1082,OK
1083,OK
1084,OK
1085,OK
1086,OK
1087,OK
1088,OK
1089,OK
1090,OK
1091,OK
1092,OK
1093,OK
1094,OK
1095,OK
1096,OK
1097,OK
1098,OK
1099,OK
1100,OK
1101,OK
1102,OK
1103,OK
1104,OK
1105,OK
1106,OK
1107,OK
1108,OK
1109,OK
1110,OK
1111,OK
1112,OK
1113,OK
1114,OK
1115,OK
1116,OK
1117,OK
1118,OK
1119,OK
1120,OK
1121,OK
1122,OK
1123,OK
1124,OK
1125,OK
1126,OK
1127,OK
1128,OK
1129,OK
1130,OK
1131,OK
1132,OK
1133,OK
1134,OK
1135,OK
1136,OK
1137,OK
1138,OK
1139,OK
1140,OK
1141,OK
1142,OK
1143,OK
1144,OK
1145,OK
1146,OK
1147,OK
1148,OK
1149,OK
1150,OK
1151,OK
1152,OK
1153,OK
1154,OK
1155,OK
1156,OK
1157,OK
1158,OK
1159,OK
1160,OK
1161,OK
1162,OK
1163,OK
1164,OK
1165,OK
1166,OK
1167,OK
1168,OK
1169,OK
1170,OK
1171,OK
1172,OK
1173,OK
1174,OK
1175,OK
1176,OK
1177,OK
1178,OK
1179,OK
1180,OK
1181,OK
1182,OK
1183,OK
1184,OK
1185,OK
1186,OK
1187,OK
1188,OK
1189,OK
1190,OK
1191,OK
1192,OK
1193,OK
1194,OK
1195,OK
1196,OK
1197,OK
1198,OK
1199,OK
1200,OK
1201,OK
1202,OK
1203,OK
1204,OK
1205,OK
1206,OK
1207,OK
1208,OK
1209,OK
1210,OK
1211,OK
1212,OK
1213,OK
1214,OK
1215,OK
1216,OK
1217,OK
1218,OK
1219,OK
1220,OK
1221,OK
1222,OK
1223,OK
1224,OK
1225,OK
1226,OK
1227,OK
1228,OK
1229,OK
1230,OK
1231,OK
1232,OK
1233,OK
1234,OK
1235,OK
1236,OK
1237,OK
1238,OK
1239,OK
1240,OK
1241,OK
1242,OK
1243,OK
1244,OK
1245,OK
1246,OK
1247,OK
1248,OK
1249,OK
1250,OK
1251,OK
1252,OK
1253,OK
1254,OK
1255,OK
1256,OK
1257,OK
1258,OK
1259,OK
1260,OK
1261,OK
1262,OK
1263,OK
1264,OK
1265,OK
1266,OK
1267,OK
1268,OK
1269,OK
1270,OK
1271,OK
1272,OK
1273,OK
1274,OK
1275,OK
1276,OK
1277,OK
1278,OK
1279,OK
1280,OK
1281,OK
1282,OK
1283,OK
1284,OK
1285,OK
1286,OK
1287,OK
1288,OK
1289,OK
1290,OK
1291,OK
1292,OK
1293,OK
1294,OK
1295,OK
1296,OK
1297,OK
1298,OK
1299,OK
1300,OK
1301,OK
1302,OK
1303,OK
1304,OK
1305,OK
1306,OK
1307,OK
1308,OK
1309,OK
1310,OK
1311,OK
1312,OK
1313,OK
1314,OK
1315,OK
1316,OK
1317,OK
1318,OK
1319,OK
1320,OK
1321,OK
1322,OK
1323,OK
1324,OK
1325,OK
1326,OK
1327,OK
1328,OK
1329,OK
1330,OK
1331,OK
1332,OK
1333,OK
1334,OK
1335,OK
1336,OK
1337,OK
1338,OK
1339,OK
1340,OK
1341,OK
1342,OK
1343,OK
1344,OK
1345,OK
1346,OK
1347,OK
1348,OK
1349,OK
1350,OK
1351,OK
1352,OK
1353,OK
1354,OK
1355,OK
1356,OK
1357,OK
1358,OK
1359,OK
1360,OK
1361,OK
1362,OK
1363,OK
1364,OK
1365,OK
1366,OK
1367,OK
1368,OK
1369,OK
1370,OK
1371,OK
1372,OK
1373,OK
1374,OK
1375,OK
1376,OK
1377,OK
1378,OK
1379,OK
1380,OK
1381,OK
1382,OK
1383,OK
1384,OK
1385,OK
1386,OK
1387,OK
1388,OK
1389,OK
1390,OK
1391,OK
1392,OK
1393,OK
1394,OK
1395,OK
1396,OK
1397,OK
1398,OK
1399,OK
1400,OK
1401,OK
1402,OK
1403,OK
1404,OK
1405,OK
1406,OK
1407,OK
1408,OK
1409,OK
1410,OK
1411,OK
1412,OK
1413,OK
1414,OK
1415,OK
1416,OK
1417,OK
1418,OK
1419,OK
1420,OK
1421,OK
1422,OK
1423,OK
1424,OK
1425,OK
1426,OK
1427,OK
1428,OK
1429,OK
1430,OK
1431,OK
1432,OK
1433,OK
1434,OK
1435,OK
1436,OK
1437,OK
1438,OK
1439,OK
1440,OK
1441,OK
1442,OK
1443,OK
1444,OK
1445,OK
1446,OK
1447,OK
1448,OK
1449,OK
1450,OK
1451,OK
1452,OK
1453,OK
1454,OK
1455,OK
1456,OK
1457,OK
1458,OK
1459,OK
1460,OK
1461,OK
1462,OK
1463,OK
1464,OK
1465,OK
1466,OK
1467,OK
1468,OK
1469,OK
1470,OK
1471,OK
1472,OK
1473,OK
1474,OK
1475,OK
1476,OK
1477,OK
1478,OK
1479,OK
1480,OK
1481,OK
1482,OK
1483,OK
1484,OK
1485,OK
1486,OK
1487,OK
1488,OK
1489,OK
1490,OK
1491,OK
1492,OK
1493,OK
1494,OK
1495,OK
1496,OK
1497,OK
1498,FALLO
1499,OK
1500,OK